,DATE,WEATHER,TEMPC,WIND
242,2009-01-09 02,normal,-2.8,8.0
243,2009-01-09 03,normal,-3.3,10.0
244,2009-01-09 04,normal,-3.3,11.0
245,2009-01-09 05,normal,-3.3,13.0
246,2009-01-09 06,normal,-3.3,9.0
247,2009-01-09 07,normal,-3.3,11.0
248,2009-01-09 08,normal,-2.8,9.0
249,2009-01-09 09,normal,-2.2,8.0
250,2009-01-09 10,normal,-1.1,8.0
251,2009-01-09 11,normal,-0.6,13.0
252,2009-01-09 12,normal,0.0,10.0
253,2009-01-09 13,normal,0.0,14.0
254,2009-01-09 14,normal,0.0,9.0
255,2009-01-09 15,normal,-0.6,11.0
256,2009-01-09 16,normal,-0.6,9.0
257,2009-01-09 17,normal,-1.1,9.0
258,2009-01-09 18,normal,-1.1,8.0
259,2009-01-09 19,normal,-1.1,8.0
260,2009-01-09 20,normal,-2.0,8.0
261,2009-01-09 21,normal,-2.2,7.0
262,2009-01-09 22,normal,-2.8,7.0
264,2009-01-09 23,normal,,
265,2009-01-10 00,normal,-3.3,8.0
266,2009-01-10 01,normal,-3.3,6.0
267,2009-01-10 02,normal,-3.9,6.0
268,2009-01-10 03,normal,-4.4,5.0
269,2009-01-10 04,normal,-4.4,5.0
270,2009-01-10 05,normal,-4.4,6.0
271,2009-01-10 06,normal,-4.4,7.0
272,2009-01-10 07,normal,-4.4,0.0
273,2009-01-10 08,normal,-3.3,0.0
274,2009-01-10 09,normal,-3.3,5.0
275,2009-01-10 10,normal,-2.2,0.0
278,2009-01-10 11,normal,-1.7,5.0
281,2009-01-10 12,snow,-3.0,7.0
287,2009-01-10 13,snow,-3.0,6.0
290,2009-01-10 14,snow,-3.3,10.0
293,2009-01-10 15,normal,-4.0,11.0
297,2009-01-10 16,snow,-3.9,5.0
303,2009-01-10 17,snow,-3.9,9.0
305,2009-01-10 18,normal,-3.3,9.0
308,2009-01-10 19,snow,-3.3,13.0
311,2009-01-10 20,normal,-2.8,11.0
313,2009-01-10 21,rain,-2.2,13.0
316,2009-01-10 22,fog,-1.7,10.0
318,2009-01-10 23,normal,,
320,2009-01-11 00,normal,-1.7,13.0
322,2009-01-11 01,rain,-0.6,8.0
329,2009-01-11 02,rain,-1.1,11.0
331,2009-01-11 03,rain,-1.1,10.0
334,2009-01-11 04,rain,-1.1,6.0
